G,W,ORB,FTR,2P_O,3P_O,P_V
40,33,40.7,32.3,53.9,32.7,0.825
40,36,32.1,36.2,54.8,36.5,0.9
40,33,25.5,30.7,54.7,35.2,0.825
38,31,27.4,32.9,52.8,36.5,0.8157894736842105
39,37,30.0,39.0,56.3,38.2,0.9487179487179487
40,29,42.0,51.8,50.0,33.2,0.725
38,30,32.5,28.4,53.4,37.9,0.7894736842105263
39,35,35.8,39.8,55.9,38.7,0.8974358974358975
38,35,30.4,29.1,52.5,39.5,0.9210526315789473
39,33,41.3,34.3,51.0,35.5,0.8461538461538461
40,35,28.2,34.1,57.4,36.2,0.875
40,36,29.6,29.4,59.0,40.1,0.9
40,32,30.4,38.3,48.1,38.7,0.8
40,35,38.2,40.0,50.8,33.3,0.875
36,27,34.7,38.7,48.4,30.7,0.75
38,32,27.9,36.7,58.2,39.0,0.8421052631578947
36,24,32.7,32.9,52.9,37.4,0.6666666666666666
37,29,29.9,32.1,52.6,40.3,0.7837837837837838
37,29,38.8,34.6,56.0,37.2,0.7837837837837838
35,23,32.3,37.0,53.6,35.0,0.6571428571428571
38,32,35.6,33.2,58.0,30.8,0.8421052631578947
36,26,34.5,29.9,51.5,37.4,0.7222222222222222
37,32,32.2,38.6,52.7,41.3,0.8648648648648649
36,31,34.1,36.0,53.6,40.4,0.8611111111111112
37,25,25.9,33.8,53.4,34.1,0.6756756756756757
37,27,32.9,39.3,51.1,35.9,0.7297297297297297
38,24,34.5,41.1,52.0,34.5,0.631578947368421
38,34,34.5,47.1,53.3,36.0,0.8947368421052632
37,30,34.1,40.3,52.6,34.4,0.8108108108108109
36,27,32.1,40.2,50.3,35.9,0.75
38,32,33.5,40.9,52.9,35.3,0.8421052631578947
37,30,36.8,41.9,52.9,35.4,0.8108108108108109
37,34,33.9,38.7,57.0,40.0,0.918918918918919
37,33,31.5,35.3,61.4,36.3,0.8918918918918919
38,33,36.4,41.0,50.7,36.4,0.868421052631579
37,28,29.4,34.9,52.7,40.2,0.7567567567567568
38,29,32.9,33.7,52.1,39.2,0.7631578947368421
37,26,33.9,40.6,50.4,37.7,0.7027027027027027
37,29,31.8,35.5,49.4,35.6,0.7837837837837838
36,30,28.8,39.2,50.8,39.9,0.8333333333333334
35,26,38.4,40.9,51.6,29.6,0.7428571428571429
37,29,34.2,31.0,54.3,37.8,0.7837837837837838
37,23,33.5,35.4,47.2,36.0,0.6216216216216216
39,27,33.5,32.7,50.8,38.5,0.6923076923076923
39,32,33.9,33.6,54.3,37.8,0.8205128205128205
37,29,31.2,33.0,48.2,42.2,0.7837837837837838
39,31,29.4,27.0,55.6,40.1,0.7948717948717948
37,32,22.1,32.2,56.6,39.8,0.8648648648648649
38,33,32.4,34.4,54.5,38.0,0.868421052631579
39,38,39.5,43.9,51.2,34.9,0.9743589743589743
36,26,34.0,40.2,45.9,33.4,0.7222222222222222
39,30,31.6,30.9,51.7,38.1,0.7692307692307693
39,36,35.3,42.4,51.3,35.9,0.9230769230769231
38,30,28.1,42.7,51.3,37.6,0.7894736842105263
40,30,38.8,36.8,48.5,33.4,0.75
39,30,38.0,36.5,49.6,33.9,0.7692307692307693
30,11,31.7,32.5,49.5,36.2,0.36666666666666664
30,9,33.4,33.1,47.8,29.8,0.3
30,8,35.9,41.1,44.9,31.6,0.26666666666666666
35,22,35.5,39.9,47.3,35.2,0.6285714285714286
33,17,29.6,36.4,46.1,32.1,0.5151515151515151
32,17,34.0,42.4,48.4,29.6,0.53125
32,22,32.3,47.3,50.1,30.5,0.6875
35,21,22.2,32.9,52.8,34.0,0.6
31,13,31.5,35.2,45.5,29.9,0.41935483870967744
31,10,27.2,41.5,45.2,32.0,0.3225806451612903
31,18,35.0,37.9,47.1,31.4,0.5806451612903226
32,19,24.9,32.3,51.1,35.5,0.59375
33,16,27.9,33.6,53.1,36.6,0.48484848484848486
30,16,30.4,33.6,51.2,34.6,0.5333333333333333
32,11,33.5,34.4,45.7,29.2,0.34375
38,28,34.4,39.1,48.4,37.1,0.7368421052631579
30,8,24.9,30.9,45.4,33.6,0.26666666666666666
32,14,25.9,36.5,48.8,33.0,0.4375
32,17,30.6,37.6,48.3,36.5,0.53125
32,16,23.2,35.2,55.4,35.6,0.5
32,11,20.7,37.8,46.9,32.8,0.34375
31,22,31.3,37.5,48.8,37.3,0.7096774193548387
32,17,25.1,31.5,51.9,34.1,0.53125
32,10,29.0,37.1,48.3,33.4,0.3125
31,13,23.4,26.7,47.4,33.2,0.41935483870967744
33,20,31.6,39.7,48.5,34.2,0.6060606060606061
35,20,32.7,36.6,45.6,37.1,0.5714285714285714
30,15,25.7,38.3,52.4,36.4,0.5
33,15,28.1,34.6,53.3,29.7,0.45454545454545453
35,22,20.7,31.6,55.6,34.2,0.6285714285714286
31,11,29.8,40.1,45.7,32.4,0.3548387096774194
33,12,24.2,34.4,44.3,34.2,0.36363636363636365
32,20,33.0,42.4,48.5,34.8,0.625
31,14,25.8,31.8,59.5,33.7,0.45161290322580644
32,16,33.0,35.4,47.8,35.0,0.5
31,9,18.8,26.9,52.1,28.8,0.2903225806451613
33,16,27.9,31.8,49.1,32.6,0.48484848484848486
33,15,31.7,28.9,50.2,32.1,0.45454545454545453
32,13,25.5,31.0,48.8,32.9,0.40625
33,13,27.2,25.1,47.9,40.0,0.3939393939393939
32,12,23.4,29.7,53.2,33.4,0.375
32,16,23.5,34.6,47.7,33.7,0.5
32,17,33.8,45.8,46.6,32.0,0.53125
33,18,29.0,28.1,52.4,35.2,0.5454545454545454
33,24,23.3,28.3,52.8,35.6,0.7272727272727273
33,21,26.9,32.1,59.5,33.2,0.6363636363636364
32,19,31.9,35.0,51.1,32.2,0.59375
31,12,25.1,24.5,44.7,33.0,0.3870967741935484
33,18,29.0,34.2,50.5,33.0,0.5454545454545454
33,9,23.4,32.6,45.3,31.1,0.2727272727272727
31,10,28.9,28.5,45.3,33.1,0.3225806451612903
32,11,31.5,31.3,50.2,35.0,0.34375
33,18,31.3,36.8,50.0,28.0,0.5454545454545454
33,13,19.1,30.7,55.5,34.7,0.3939393939393939
33,14,22.0,31.7,47.8,32.2,0.42424242424242425
34,18,29.2,28.2,47.9,32.8,0.5294117647058824
32,13,26.0,35.0,52.1,32.4,0.40625
31,16,34.1,34.4,46.5,29.9,0.5161290322580645
33,17,31.8,46.9,51.4,31.3,0.5151515151515151
31,12,38.7,31.1,46.1,26.7,0.3870967741935484
38,25,29.5,35.5,47.4,35.8,0.6578947368421053
33,18,34.3,34.8,48.6,33.6,0.5454545454545454
31,18,33.5,35.4,48.3,30.0,0.5806451612903226
33,11,26.0,31.9,47.7,38.9,0.3333333333333333
32,13,31.8,41.5,46.5,33.6,0.40625
32,7,21.8,25.9,46.9,32.3,0.21875
31,17,30.3,33.3,49.1,35.2,0.5483870967741935
34,20,32.8,37.8,52.1,34.1,0.5882352941176471
36,21,37.5,31.7,48.4,35.7,0.5833333333333334
31,23,38.5,31.8,51.9,34.7,0.7419354838709677
33,16,36.3,38.9,46.9,34.8,0.48484848484848486
35,20,30.3,49.4,49.1,34.8,0.5714285714285714
31,11,32.7,43.2,50.4,31.6,0.3548387096774194
32,9,25.6,29.6,49.1,37.4,0.28125
33,17,31.4,34.3,49.8,35.7,0.5151515151515151
36,21,27.7,35.8,46.9,32.5,0.5833333333333334
32,15,29.8,36.2,52.4,35.6,0.46875
33,16,28.2,39.4,49.6,36.1,0.48484848484848486
34,19,31.6,35.1,51.3,37.9,0.5588235294117647
35,19,30.1,30.7,51.1,35.9,0.5428571428571428
32,13,30.8,34.8,46.6,31.8,0.40625
36,22,28.6,31.9,49.7,37.1,0.6111111111111112
35,21,31.1,31.0,49.6,35.6,0.6
32,8,22.7,31.9,47.8,32.5,0.25
31,11,30.5,31.9,47.4,37.4,0.3548387096774194
31,14,28.6,35.0,49.1,31.7,0.45161290322580644
34,20,27.8,33.5,51.5,32.8,0.5882352941176471
32,14,25.3,34.3,50.7,30.7,0.4375
32,14,25.9,30.8,51.4,33.3,0.4375
36,24,36.0,28.5,51.6,35.2,0.6666666666666666
33,14,29.0,30.1,45.4,31.5,0.42424242424242425
33,14,32.1,42.3,46.9,33.1,0.42424242424242425
31,11,33.9,37.6,44.1,30.8,0.3548387096774194
30,5,26.2,39.8,43.9,30.6,0.16666666666666666
29,13,25.3,29.8,46.0,32.5,0.4482758620689655
30,3,23.5,27.7,45.5,32.6,0.1
30,17,27.2,36.1,45.9,37.4,0.5666666666666667
33,21,37.1,32.4,45.1,32.1,0.6363636363636364
28,11,21.6,34.3,44.6,34.9,0.39285714285714285
30,4,23.5,37.2,45.0,32.6,0.13333333333333333
33,19,26.7,42.4,51.7,34.9,0.5757575757575758
32,23,34.8,43.3,51.8,32.3,0.71875
30,8,25.3,36.2,45.0,28.4,0.26666666666666666
32,9,18.9,33.2,45.6,35.4,0.28125
30,8,27.9,32.0,48.3,33.9,0.26666666666666666
31,18,29.5,36.6,45.0,33.2,0.5806451612903226
28,10,25.1,33.2,53.2,36.2,0.35714285714285715
32,7,24.9,42.2,50.4,33.1,0.21875
36,22,28.5,38.2,52.6,38.2,0.6111111111111112
34,21,33.0,33.4,50.3,37.1,0.6176470588235294
29,12,23.5,30.8,47.1,34.4,0.41379310344827586
32,9,24.7,32.6,45.0,33.9,0.28125
31,7,26.9,29.6,44.8,31.2,0.22580645161290322
29,20,27.2,34.1,49.5,34.2,0.6896551724137931
32,18,29.5,32.8,45.7,32.7,0.5625
30,11,27.1,31.5,53.1,38.4,0.36666666666666664
32,21,24.4,35.0,51.5,38.5,0.65625
31,22,34.6,37.0,48.7,36.8,0.7096774193548387
29,11,25.9,30.0,48.1,34.8,0.3793103448275862
32,19,24.9,31.2,53.6,34.4,0.59375
30,6,25.5,29.2,47.1,29.6,0.2
29,10,28.4,30.5,44.3,32.6,0.3448275862068966
31,13,30.5,32.0,47.5,32.2,0.41935483870967744
29,12,26.3,39.2,52.4,34.4,0.41379310344827586
34,27,26.0,41.8,53.8,39.9,0.7941176470588235
31,12,27.3,32.5,46.9,34.8,0.3870967741935484
31,10,20.9,24.3,48.4,33.9,0.3225806451612903
32,18,25.3,33.1,51.5,38.2,0.5625
31,5,25.9,25.6,49.9,31.0,0.16129032258064516
27,5,21.5,21.9,39.4,32.6,0.18518518518518517
32,24,33.2,35.4,47.7,32.6,0.75
30,15,27.0,34.1,55.1,34.3,0.5
31,21,24.5,31.1,49.5,31.3,0.6774193548387096
35,20,30.2,32.3,48.4,35.4,0.5714285714285714
31,12,28.2,29.9,45.2,35.6,0.3870967741935484
32,13,33.6,31.5,45.2,32.0,0.40625
32,18,37.0,31.6,48.1,32.8,0.5625
31,8,31.3,31.6,47.7,30.9,0.25806451612903225
37,26,31.8,35.6,43.4,30.4,0.7027027027027027
30,14,32.6,34.7,45.5,32.0,0.4666666666666667
33,23,30.8,41.4,46.5,32.3,0.696969696969697
29,11,30.7,35.1,47.6,34.5,0.3793103448275862
32,12,28.8,34.6,47.8,33.9,0.375
32,22,35.8,34.4,52.1,34.8,0.6875
34,19,32.4,41.9,45.1,32.4,0.5588235294117647
30,25,41.2,33.8,52.5,42.0,0.8333333333333334
33,8,34.6,33.0,46.2,28.6,0.24242424242424243
34,13,32.1,31.3,45.5,30.1,0.38235294117647056
30,12,31.3,37.2,50.1,31.8,0.4
32,16,29.9,34.5,46.1,35.4,0.5
33,15,30.7,37.4,44.5,32.0,0.45454545454545453
32,22,31.8,28.6,47.7,39.4,0.6875
32,19,31.6,36.7,51.1,29.5,0.59375
30,7,30.6,30.7,45.9,34.6,0.23333333333333334
32,16,27.5,26.4,47.0,35.6,0.5
31,6,29.3,34.3,45.2,32.4,0.1935483870967742
32,15,29.5,42.8,47.2,34.3,0.46875
36,24,32.6,39.9,48.9,35.2,0.6666666666666666
32,14,29.4,32.4,46.6,32.6,0.4375
30,10,27.8,28.7,49.6,30.5,0.3333333333333333
34,21,35.1,43.6,52.3,31.7,0.6176470588235294
33,17,32.7,30.5,48.7,37.9,0.5151515151515151
32,10,28.8,33.1,44.8,36.1,0.3125
33,17,27.7,25.6,47.2,35.0,0.5151515151515151
31,14,27.5,34.5,50.9,35.0,0.45161290322580644
31,19,32.0,41.6,49.7,34.7,0.6129032258064516
32,19,28.5,43.1,47.1,32.9,0.59375
33,16,32.3,32.7,50.7,34.4,0.48484848484848486
31,10,28.2,35.6,47.7,28.4,0.3225806451612903
36,22,33.4,37.3,52.5,32.2,0.6111111111111112
32,15,33.4,27.8,51.3,34.1,0.46875
37,24,36.3,48.1,48.5,33.3,0.6486486486486487
31,4,27.0,32.8,46.7,31.8,0.12903225806451613
32,18,23.0,43.4,51.3,34.0,0.5625
37,22,32.5,28.8,47.1,31.0,0.5945945945945946
30,19,34.4,33.1,47.0,33.9,0.6333333333333333
29,7,27.7,39.3,43.1,35.8,0.2413793103448276
30,8,29.6,29.8,44.1,31.5,0.26666666666666666
28,11,29.2,39.7,47.5,32.6,0.39285714285714285
28,11,28.5,30.0,51.9,33.4,0.39285714285714285
28,6,26.1,34.1,48.3,31.8,0.21428571428571427
32,20,35.2,30.4,49.2,33.2,0.625
28,12,27.0,31.4,45.0,38.9,0.42857142857142855
29,9,28.3,33.5,47.2,35.1,0.3103448275862069
31,10,26.9,34.7,50.5,35.2,0.3225806451612903
34,19,26.8,33.7,51.1,35.1,0.5588235294117647
31,19,24.1,28.7,54.7,40.9,0.6129032258064516
30,8,25.2,33.8,49.4,36.2,0.26666666666666666
28,7,33.1,30.9,48.4,35.7,0.25
29,17,26.3,34.6,50.4,38.8,0.5862068965517241
30,14,31.1,30.6,47.7,41.2,0.4666666666666667
30,20,28.3,41.2,55.7,36.0,0.6666666666666666
29,11,30.5,33.3,47.7,33.4,0.3793103448275862
30,15,33.3,34.9,50.7,34.7,0.5
29,11,21.1,32.6,49.9,33.4,0.3793103448275862
29,17,30.2,31.9,52.8,34.6,0.5862068965517241
32,23,31.3,33.4,54.9,37.3,0.71875
29,15,25.9,30.0,48.8,33.0,0.5172413793103449
28,10,29.6,35.0,47.5,36.9,0.35714285714285715
28,14,30.0,32.9,48.1,35.3,0.5
30,14,25.0,27.7,51.5,37.5,0.4666666666666667
28,12,23.2,25.0,48.7,32.9,0.42857142857142855
28,7,27.0,21.6,49.3,34.1,0.25
30,14,25.6,31.9,50.7,36.9,0.4666666666666667
30,12,28.3,30.5,51.0,31.2,0.4
30,5,29.2,30.1,39.1,31.4,0.16666666666666666
35,29,26.0,36.3,53.8,37.5,0.8285714285714286
34,22,21.9,38.4,49.8,34.8,0.6470588235294118
29,10,27.3,30.8,44.4,29.7,0.3448275862068966
31,16,29.4,25.3,53.2,33.9,0.5161290322580645
29,7,27.9,25.0,45.0,31.0,0.2413793103448276
33,19,30.2,31.2,44.4,35.5,0.5757575757575758
31,15,25.5,26.6,47.0,35.3,0.4838709677419355
32,17,30.0,32.9,50.1,37.2,0.53125
31,13,26.7,36.5,48.0,28.4,0.41935483870967744
32,15,27.6,28.6,48.3,35.9,0.46875
34,18,29.7,34.7,46.8,33.4,0.5294117647058824
32,10,30.5,32.6,43.3,29.5,0.3125
34,15,21.5,30.5,47.5,36.3,0.4411764705882353
31,8,26.5,37.1,45.6,31.0,0.25806451612903225
34,16,31.8,32.6,49.4,34.7,0.47058823529411764
32,20,30.5,28.4,51.6,35.8,0.625
35,21,30.2,36.0,49.0,33.4,0.6
32,16,28.7,34.5,45.9,31.7,0.5
31,6,25.3,34.5,44.9,32.2,0.1935483870967742
34,20,28.6,32.5,48.5,36.1,0.5882352941176471
34,18,36.4,34.1,54.1,38.0,0.5294117647058824
34,19,31.8,34.9,49.9,37.9,0.5588235294117647
30,12,33.7,30.0,45.3,31.8,0.4
32,17,29.7,38.1,51.6,35.6,0.53125
33,15,26.6,32.8,45.4,33.9,0.45454545454545453
32,15,37.5,31.2,44.5,30.2,0.46875
31,14,34.0,33.1,49.8,33.2,0.45161290322580644
31,16,31.8,36.4,52.5,32.2,0.5161290322580645
33,14,34.1,35.4,53.3,37.5,0.42424242424242425
31,19,31.4,37.9,53.9,36.8,0.6129032258064516
32,15,30.0,35.1,47.1,34.6,0.46875
33,22,30.1,37.6,47.6,34.6,0.6666666666666666
31,15,29.4,29.1,47.1,35.4,0.4838709677419355
39,26,31.7,31.5,49.8,38.7,0.6666666666666666
33,15,33.3,30.5,43.4,29.6,0.45454545454545453
33,15,28.4,32.7,51.2,33.5,0.45454545454545453
33,12,29.1,29.5,48.2,34.5,0.36363636363636365
35,19,28.1,34.6,53.1,31.2,0.5428571428571428
35,19,28.5,33.0,48.6,33.4,0.5428571428571428
32,13,24.2,30.2,46.4,31.3,0.40625
32,14,31.9,32.3,47.2,32.0,0.4375
31,14,33.4,31.7,47.2,31.2,0.45161290322580644
32,15,34.0,46.0,46.9,33.5,0.46875
33,18,37.5,46.5,47.5,32.7,0.5454545454545454
32,13,34.6,46.1,44.5,32.3,0.40625
33,17,37.0,42.5,48.7,30.0,0.5151515151515151
32,10,28.8,38.3,47.8,32.8,0.3125
33,12,29.3,45.6,43.7,33.5,0.36363636363636365
31,11,30.8,36.7,45.7,34.3,0.3548387096774194
38,24,34.1,32.2,52.2,35.7,0.631578947368421
33,11,28.4,34.5,51.3,29.2,0.3333333333333333
32,18,30.0,35.6,51.9,36.7,0.5625
33,19,35.5,32.2,51.3,35.4,0.5757575757575758
31,13,29.5,29.8,47.9,35.8,0.41935483870967744
36,21,34.2,32.2,48.3,34.8,0.5833333333333334
32,12,26.4,30.6,46.0,37.2,0.375
37,23,31.2,31.7,52.3,34.6,0.6216216216216216
37,21,28.1,29.7,49.8,34.8,0.5675675675675675
36,15,36.9,38.9,47.6,31.6,0.4166666666666667
33,14,31.3,36.3,47.6,34.6,0.42424242424242425
32,12,27.4,36.5,49.2,35.2,0.375
32,13,29.0,35.8,48.8,34.4,0.40625
31,16,34.7,38.1,46.0,35.0,0.5161290322580645
35,20,27.3,37.5,54.5,35.2,0.5714285714285714
31,9,30.7,36.5,48.6,34.3,0.2903225806451613
33,15,28.3,37.9,51.4,33.9,0.45454545454545453
33,20,28.1,40.5,52.4,33.9,0.6060606060606061
31,7,27.5,38.0,44.1,32.0,0.22580645161290322
32,9,29.9,35.6,47.7,32.6,0.28125
32,14,29.0,42.6,51.8,34.9,0.4375
33,14,27.4,36.2,47.5,36.4,0.42424242424242425
31,11,32.9,29.4,48.5,31.0,0.3548387096774194
30,15,31.3,38.3,50.1,36.6,0.5
35,21,27.6,28.8,52.2,41.7,0.6
32,16,23.6,30.4,48.8,33.3,0.5
33,16,25.7,25.2,51.4,35.3,0.48484848484848486
34,20,24.7,29.0,55.7,37.9,0.5882352941176471
36,19,32.7,36.1,53.3,34.3,0.5277777777777778
33,19,29.1,38.2,49.6,35.6,0.5757575757575758
34,18,31.8,39.1,47.5,32.6,0.5294117647058824
35,19,32.2,32.6,54.7,33.1,0.5428571428571428
28,11,30.7,38.6,49.2,41.0,0.39285714285714285
28,5,29.9,37.0,46.6,34.9,0.17857142857142858
31,18,27.6,33.3,52.9,36.6,0.5806451612903226
29,6,29.1,28.7,42.4,35.6,0.20689655172413793
28,6,24.7,38.5,47.8,33.1,0.21428571428571427
37,22,35.3,36.4,42.9,34.8,0.5945945945945946
28,13,33.6,35.1,51.4,37.5,0.4642857142857143
27,13,27.6,37.2,45.5,37.3,0.48148148148148145
31,19,27.2,35.5,50.9,40.8,0.6129032258064516
28,9,22.6,38.7,48.4,39.7,0.32142857142857145
28,11,28.8,46.0,45.0,34.9,0.39285714285714285
32,16,26.7,35.9,55.4,38.4,0.5
32,19,34.4,44.6,46.1,36.3,0.59375
29,14,24.7,38.5,48.0,35.7,0.4827586206896552
30,18,28.4,36.8,51.8,37.3,0.6
30,13,33.0,30.7,47.2,37.2,0.43333333333333335
30,14,23.8,39.3,48.7,36.7,0.4666666666666667
28,3,22.3,36.1,42.3,33.4,0.10714285714285714
29,8,29.2,43.4,48.8,36.4,0.27586206896551724
29,11,28.7,33.9,52.7,31.5,0.3793103448275862
29,12,26.3,34.9,49.2,33.1,0.41379310344827586
28,4,23.9,35.4,46.5,36.4,0.14285714285714285
32,22,27.3,34.8,53.7,36.8,0.6875
31,19,30.3,39.9,47.0,36.4,0.6129032258064516
30,6,22.0,38.1,48.2,35.6,0.2
32,16,28.0,33.0,49.9,35.7,0.5
30,16,27.2,36.3,47.7,37.2,0.5333333333333333
31,9,31.3,33.2,46.1,31.7,0.2903225806451613
27,11,27.4,34.4,50.6,34.3,0.4074074074074074
28,15,25.7,38.1,53.9,33.4,0.5357142857142857
29,13,27.4,37.3,51.1,31.0,0.4482758620689655
31,6,29.4,40.3,43.0,36.3,0.1935483870967742
32,20,21.4,42.9,53.0,40.3,0.625
33,20,21.6,28.0,52.0,37.9,0.6060606060606061
29,22,31.1,30.4,50.3,41.1,0.7586206896551724
28,14,19.8,34.5,52.4,39.4,0.5
30,13,28.7,39.0,46.1,33.8,0.43333333333333335
30,12,19.8,35.5,51.4,35.1,0.4
30,5,27.0,42.6,44.5,30.5,0.16666666666666666
35,26,25.6,33.7,54.0,35.5,0.7428571428571429
31,20,34.7,33.3,48.9,33.2,0.6451612903225806
30,7,24.1,27.8,47.7,34.6,0.23333333333333334
30,13,22.6,35.9,48.2,36.1,0.43333333333333335
28,20,19.3,35.1,52.5,41.0,0.7142857142857143
33,16,24.6,27.0,48.9,34.8,0.48484848484848486
29,5,24.2,28.2,46.5,37.6,0.1724137931034483
28,11,25.8,28.8,50.4,36.2,0.39285714285714285
31,15,26.3,34.9,51.1,37.6,0.4838709677419355
26,12,21.0,27.2,49.6,36.0,0.46153846153846156
31,10,25.8,33.8,49.2,34.6,0.3225806451612903
30,21,27.7,34.8,53.6,34.9,0.7
29,16,38.7,37.3,48.3,29.8,0.5517241379310345
28,15,28.2,33.5,48.3,33.1,0.5357142857142857
32,17,23.2,39.4,50.0,33.7,0.53125
31,18,19.2,37.1,53.4,35.2,0.5806451612903226
29,7,27.5,35.9,46.5,36.0,0.2413793103448276
28,16,33.4,34.9,46.7,33.7,0.5714285714285714
31,16,29.8,37.7,50.4,34.6,0.5161290322580645
30,20,30.6,34.1,49.3,38.6,0.6666666666666666
28,4,30.6,40.2,45.8,31.0,0.14285714285714285
32,9,26.9,30.0,44.9,36.9,0.28125
28,6,27.3,33.3,48.8,31.7,0.21428571428571427
31,19,34.5,35.4,50.5,32.6,0.6129032258064516
28,12,31.6,35.4,48.2,35.2,0.42857142857142855
29,16,29.4,35.9,49.2,35.5,0.5517241379310345
27,9,22.0,41.4,50.7,31.7,0.3333333333333333
27,6,24.7,27.4,49.4,33.8,0.2222222222222222
30,18,30.6,35.7,49.1,33.4,0.6
30,14,31.6,34.9,46.0,33.5,0.4666666666666667
29,18,31.9,35.0,49.8,38.2,0.6206896551724138
29,10,21.0,25.5,52.0,36.1,0.3448275862068966
30,7,29.6,34.3,49.8,34.9,0.23333333333333334
28,8,26.0,34.8,47.7,30.8,0.2857142857142857
29,14,34.4,29.0,49.5,34.4,0.4827586206896552
29,20,26.0,41.1,53.9,36.4,0.6896551724137931
34,19,24.2,36.6,50.2,35.6,0.5588235294117647
28,12,27.4,35.0,48.0,33.3,0.42857142857142855
30,19,30.8,44.7,50.3,37.6,0.6333333333333333
28,15,28.1,36.4,44.8,37.5,0.5357142857142857
32,21,15.0,34.2,50.4,36.1,0.65625
28,6,21.5,29.0,49.6,32.5,0.21428571428571427
28,5,29.0,27.7,43.2,33.6,0.17857142857142858
30,14,33.8,29.5,44.6,34.6,0.4666666666666667
31,23,24.4,34.9,51.8,39.0,0.7419354838709677
31,18,20.8,34.0,52.6,38.1,0.5806451612903226
28,15,30.2,31.3,49.0,32.6,0.5357142857142857
29,14,25.2,28.0,48.1,34.0,0.4827586206896552
27,14,30.9,34.1,47.6,35.9,0.5185185185185185
34,22,22.9,33.7,51.1,36.8,0.6470588235294118
30,7,22.7,35.3,45.8,31.5,0.23333333333333334
29,11,24.9,28.0,46.8,34.6,0.3793103448275862
32,21,24.0,31.3,52.0,39.4,0.65625
28,19,26.2,35.9,54.8,36.5,0.6785714285714286
30,20,23.7,31.2,54.8,33.8,0.6666666666666666
30,18,29.1,27.0,48.4,34.5,0.6
32,18,28.1,34.8,47.5,34.1,0.5625
29,16,34.1,33.8,51.0,30.3,0.5517241379310345
31,16,24.5,33.6,50.8,36.0,0.5161290322580645
33,20,25.3,30.5,50.1,38.0,0.6060606060606061
30,22,29.7,27.0,50.1,38.0,0.7333333333333333
28,4,27.7,26.3,45.2,31.7,0.14285714285714285
29,5,24.7,25.3,46.8,32.1,0.1724137931034483
27,18,28.7,30.4,53.3,36.7,0.6666666666666666
27,11,31.9,31.5,42.5,31.6,0.4074074074074074
29,7,28.5,36.7,44.9,31.8,0.2413793103448276
31,7,28.4,41.1,44.3,33.0,0.22580645161290322
33,20,32.2,36.7,49.3,32.8,0.6060606060606061
31,14,31.5,34.4,46.3,33.2,0.45161290322580644
30,23,28.6,39.3,51.7,44.1,0.7666666666666667
29,12,30.7,33.7,45.1,33.0,0.41379310344827586
31,17,30.7,32.0,46.6,37.0,0.5483870967741935
28,8,30.1,35.2,44.9,35.4,0.2857142857142857
28,8,29.7,43.7,44.4,33.3,0.2857142857142857
28,8,27.6,42.1,47.1,30.2,0.2857142857142857
33,18,27.7,37.6,46.4,36.7,0.5454545454545454
28,9,25.0,33.6,45.5,35.9,0.32142857142857145
36,26,29.1,35.1,49.3,36.7,0.7222222222222222
31,12,28.4,36.8,47.0,34.5,0.3870967741935484
32,18,28.8,27.4,48.4,35.8,0.5625
29,11,25.6,29.4,45.1,33.5,0.3793103448275862
30,17,30.3,39.9,50.6,30.8,0.5666666666666667
28,11,27.7,45.0,49.4,33.7,0.39285714285714285
29,14,28.0,36.9,48.6,32.1,0.4827586206896552
32,15,31.6,36.2,47.0,35.1,0.46875
34,21,31.9,29.7,48.2,35.6,0.6176470588235294
27,8,26.0,30.0,44.9,31.6,0.2962962962962963
27,6,30.8,28.8,41.7,28.5,0.2222222222222222
29,9,24.7,26.7,41.5,35.8,0.3103448275862069
28,6,23.3,28.3,45.9,34.7,0.21428571428571427
28,17,26.3,40.8,50.9,32.5,0.6071428571428571
31,15,32.2,40.3,48.4,35.1,0.4838709677419355
31,22,24.4,38.5,50.7,36.6,0.7096774193548387
33,18,32.3,28.2,47.5,33.0,0.5454545454545454
29,9,26.8,32.4,44.1,31.3,0.3103448275862069
30,23,28.7,32.0,50.5,38.3,0.7666666666666667
27,6,26.1,25.8,46.6,32.0,0.2222222222222222
32,16,24.5,38.5,50.3,30.8,0.5
33,13,28.4,31.8,50.3,36.1,0.3939393939393939
29,18,26.9,31.2,52.2,35.0,0.6206896551724138
32,15,28.9,40.8,46.3,33.8,0.46875
29,11,22.1,29.7,49.0,32.7,0.3793103448275862
30,10,25.1,22.7,47.2,38.0,0.3333333333333333
30,22,33.1,39.5,49.4,34.8,0.7333333333333333
33,9,27.5,32.4,43.2,34.3,0.2727272727272727
30,10,28.8,38.1,44.5,34.5,0.3333333333333333
29,11,27.5,33.1,42.6,33.0,0.3793103448275862
31,13,27.9,37.6,45.1,34.5,0.41935483870967744
34,20,32.7,39.8,50.9,36.2,0.5882352941176471
33,19,29.0,42.2,49.7,37.2,0.5757575757575758
31,11,41.1,48.3,44.4,30.1,0.3548387096774194
31,17,31.0,37.5,46.3,34.0,0.5483870967741935
31,18,24.2,35.5,54.8,38.9,0.5806451612903226
30,16,30.4,32.8,45.6,34.0,0.5333333333333333
30,7,29.6,42.2,43.7,32.5,0.23333333333333334
30,6,27.7,36.9,42.3,32.7,0.2
30,14,27.2,30.4,52.5,33.9,0.4666666666666667
33,23,31.9,39.5,50.1,35.6,0.696969696969697
