G,W,ORB,FTR,2P_O,3P_O,P_V
32,24,30.4,38.5,51.0,36.3,0.75
34,24,29.7,39.6,47.5,34.3,0.7058823529411765
34,23,24.5,27.3,49.7,35.9,0.6764705882352942
33,23,41.9,38.6,46.1,38.2,0.696969696969697
34,25,28.3,36.5,54.3,36.2,0.7352941176470589
31,17,26.9,39.0,49.2,34.6,0.5483870967741935
34,20,37.9,36.6,48.3,33.8,0.5882352941176471
33,21,40.0,38.6,49.8,37.4,0.6363636363636364
33,20,30.7,39.5,48.5,34.1,0.6060606060606061
32,19,31.3,42.2,49.2,34.6,0.59375
35,26,42.0,46.2,50.3,32.5,0.7428571428571429
35,21,29.5,41.1,51.8,36.2,0.6
32,20,38.3,37.4,50.4,40.3,0.625
32,18,28.4,33.2,53.3,35.9,0.5625
33,21,34.2,34.1,55.1,39.4,0.6363636363636364
34,19,29.4,33.0,51.2,32.0,0.5588235294117647
35,23,28.3,30.0,55.0,36.2,0.6571428571428571
34,25,28.3,30.6,48.9,33.4,0.7352941176470589
34,22,35.2,40.7,48.9,31.3,0.6470588235294118
32,20,27.6,35.7,48.2,34.5,0.625
34,25,34.7,40.4,48.8,34.7,0.7352941176470589
34,25,24.2,27.9,56.4,39.8,0.7352941176470589
32,19,27.1,31.0,52.7,42.9,0.59375
33,21,35.7,37.6,49.6,33.8,0.6363636363636364
32,21,22.5,26.5,58.7,37.2,0.65625
35,21,28.9,38.6,49.5,33.2,0.6
34,24,29.4,35.1,50.0,38.8,0.7058823529411765
34,20,29.5,34.5,50.6,32.4,0.5882352941176471
32,23,29.3,35.2,52.2,39.3,0.71875
32,23,25.9,45.7,55.3,35.5,0.71875
29,22,26.0,36.1,51.4,38.7,0.7586206896551724
32,26,33.5,38.3,51.4,33.7,0.8125
33,26,27.4,31.6,55.6,37.8,0.7878787878787878
30,20,34.8,38.9,48.1,35.9,0.6666666666666666
32,20,31.6,41.8,50.2,32.1,0.625
31,26,26.3,38.2,50.9,37.9,0.8387096774193549
34,23,32.0,31.2,47.1,35.0,0.6764705882352942
32,23,22.4,38.3,53.6,37.7,0.71875
32,19,30.0,30.2,47.8,38.2,0.59375
34,23,29.1,40.8,46.9,34.5,0.6764705882352942
30,20,26.0,45.6,52.0,33.8,0.6666666666666666
35,23,30.1,41.4,53.0,38.6,0.6571428571428571
31,23,32.1,35.6,51.0,34.4,0.7419354838709677
33,29,32.5,30.8,55.7,36.1,0.8787878787878788
32,26,25.5,36.6,52.0,35.9,0.8125
34,23,22.7,34.3,55.8,38.2,0.6764705882352942
